;15 de abril;14 de abril;11 de abril;10 de abril;9 de abril;6 de abril
15.03.2020;1;1;1;1;1;1
16.03.2020;3;3;3;3;3;3
17.03.2020;3;2;2;2;1;1
18.03.2020;5;5;5;5;4;4
19.03.2020;7;7;7;7;7;7
20.03.2020;10;9;9;9;8;8
21.03.2020;12;11;11;11;10;10
22.03.2020;13;13;13;13;13;13
23.03.2020;27;27;27;27;24;20
24.03.2020;26;25;23;23;22;18
25.03.2020;26;25;25;25;25;21
26.03.2020;31;31;29;29;27;27
27.03.2020;33;30;29;29;28;25
28.03.2020;44;41;39;36;34;33
29.03.2020;48;46;46;45;45;43
30.03.2020;52;51;46;43;42;33
31.03.2020;64;59;54;52;46;32
01.04.2020;61;57;53;52;45;35
02.04.2020;71;67;54;51;48;27
03.04.2020;77;71;63;58;41;25
04.04.2020;85;80;71;65;49;27
05.04.2020;90;86;71;69;51;20
06.04.2020;80;73;70;64;46;5
07.04.2020;81;71;53;50;25;
08.04.2020;79;70;53;45;3;
09.04.2020;60;50;32;22;;
10.04.2020;67;58;31;3;;
11.04.2020;69;54;13;;;
12.04.2020;78;57;;;;
13.04.2020;67;37;;;;
14.04.2020;25;5;;;;
15.04.2020;10;;;;;
