UF, Data, Mortes
AC, 26-fev-20, 0
AL, 26-fev-20, 0
AM, 26-fev-20, 0
AP, 26-fev-20, 0
BA, 26-fev-20, 0
CE, 26-fev-20, 0
DF, 26-fev-20, 0
ES, 26-fev-20, 0
GO, 26-fev-20, 0
MA, 26-fev-20, 0
MG, 26-fev-20, 0
MS, 26-fev-20, 0
MT, 26-fev-20, 0
PA, 26-fev-20, 0
PB, 26-fev-20, 0
PE, 26-fev-20, 0
PI, 26-fev-20, 0
PR, 26-fev-20, 0
RJ, 26-fev-20, 0
RN, 26-fev-20, 0
RO, 26-fev-20, 0
RR, 26-fev-20, 0
RS, 26-fev-20, 0
SC, 26-fev-20, 0
SE, 26-fev-20, 0
SP, 26-fev-20, 0
TO, 26-fev-20, 0
AC, 27-fev-20, 0
AL, 27-fev-20, 0
AM, 27-fev-20, 0
AP, 27-fev-20, 0
BA, 27-fev-20, 0
CE, 27-fev-20, 0
DF, 27-fev-20, 0
ES, 27-fev-20, 0
GO, 27-fev-20, 0
MA, 27-fev-20, 0
MG, 27-fev-20, 0
MS, 27-fev-20, 0
MT, 27-fev-20, 0
PA, 27-fev-20, 0
PB, 27-fev-20, 0
PE, 27-fev-20, 0
PI, 27-fev-20, 0
PR, 27-fev-20, 0
RJ, 27-fev-20, 0
RN, 27-fev-20, 0
RO, 27-fev-20, 0
RR, 27-fev-20, 0
RS, 27-fev-20, 0
SC, 27-fev-20, 0
SE, 27-fev-20, 0
SP, 27-fev-20, 0
TO, 27-fev-20, 0
AC, 28-fev-20, 0
AL, 28-fev-20, 0
AM, 28-fev-20, 0
AP, 28-fev-20, 0
BA, 28-fev-20, 0
CE, 28-fev-20, 0
DF, 28-fev-20, 0
ES, 28-fev-20, 0
GO, 28-fev-20, 0
MA, 28-fev-20, 0
MG, 28-fev-20, 0
MS, 28-fev-20, 0
MT, 28-fev-20, 0
PA, 28-fev-20, 0
PB, 28-fev-20, 0
PE, 28-fev-20, 0
PI, 28-fev-20, 0
PR, 28-fev-20, 0
RJ, 28-fev-20, 0
RN, 28-fev-20, 0
RO, 28-fev-20, 0
RR, 28-fev-20, 0
RS, 28-fev-20, 0
SC, 28-fev-20, 0
SE, 28-fev-20, 0
SP, 28-fev-20, 0
TO, 28-fev-20, 0
AC, 29-fev-20, 0
AL, 29-fev-20, 0
AM, 29-fev-20, 0
AP, 29-fev-20, 0
BA, 29-fev-20, 0
CE, 29-fev-20, 0
DF, 29-fev-20, 0
ES, 29-fev-20, 0
GO, 29-fev-20, 0
MA, 29-fev-20, 0
MG, 29-fev-20, 0
MS, 29-fev-20, 0
MT, 29-fev-20, 0
PA, 29-fev-20, 0
PB, 29-fev-20, 0
PE, 29-fev-20, 0
PI, 29-fev-20, 0
PR, 29-fev-20, 0
RJ, 29-fev-20, 0
RN, 29-fev-20, 0
RO, 29-fev-20, 0
RR, 29-fev-20, 0
RS, 29-fev-20, 0
SC, 29-fev-20, 0
SE, 29-fev-20, 0
SP, 29-fev-20, 0
TO, 29-fev-20, 0
AC, 1-mar-20, 0
AL, 1-mar-20, 0
AM, 1-mar-20, 0
AP, 1-mar-20, 0
BA, 1-mar-20, 0
CE, 1-mar-20, 0
DF, 1-mar-20, 0
ES, 1-mar-20, 0
GO, 1-mar-20, 0
MA, 1-mar-20, 0
MG, 1-mar-20, 0
MS, 1-mar-20, 0
MT, 1-mar-20, 0
PA, 1-mar-20, 0
PB, 1-mar-20, 0
PE, 1-mar-20, 0
PI, 1-mar-20, 0
PR, 1-mar-20, 0
RJ, 1-mar-20, 0
RN, 1-mar-20, 0
RO, 1-mar-20, 0
RR, 1-mar-20, 0
RS, 1-mar-20, 0
SC, 1-mar-20, 0
SE, 1-mar-20, 0
SP, 1-mar-20, 0
TO, 1-mar-20, 0
AC, 2-mar-20, 0
AL, 2-mar-20, 0
AM, 2-mar-20, 0
AP, 2-mar-20, 0
BA, 2-mar-20, 0
CE, 2-mar-20, 0
DF, 2-mar-20, 0
ES, 2-mar-20, 0
GO, 2-mar-20, 0
MA, 2-mar-20, 0
MG, 2-mar-20, 0
MS, 2-mar-20, 0
MT, 2-mar-20, 0
PA, 2-mar-20, 0
PB, 2-mar-20, 0
PE, 2-mar-20, 0
PI, 2-mar-20, 0
PR, 2-mar-20, 0
RJ, 2-mar-20, 0
RN, 2-mar-20, 0
RO, 2-mar-20, 0
RR, 2-mar-20, 0
RS, 2-mar-20, 0
SC, 2-mar-20, 0
SE, 2-mar-20, 0
SP, 2-mar-20, 0
TO, 2-mar-20, 0
AC, 3-mar-20, 0
AL, 3-mar-20, 0
AM, 3-mar-20, 0
AP, 3-mar-20, 0
BA, 3-mar-20, 0
CE, 3-mar-20, 0
DF, 3-mar-20, 0
ES, 3-mar-20, 0
GO, 3-mar-20, 0
MA, 3-mar-20, 0
MG, 3-mar-20, 0
MS, 3-mar-20, 0
MT, 3-mar-20, 0
PA, 3-mar-20, 0
PB, 3-mar-20, 0
PE, 3-mar-20, 0
PI, 3-mar-20, 0
PR, 3-mar-20, 0
RJ, 3-mar-20, 0
RN, 3-mar-20, 0
RO, 3-mar-20, 0
RR, 3-mar-20, 0
RS, 3-mar-20, 0
SC, 3-mar-20, 0
SE, 3-mar-20, 0
SP, 3-mar-20, 0
TO, 3-mar-20, 0
AC, 4-mar-20, 0
AL, 4-mar-20, 0
AM, 4-mar-20, 0
AP, 4-mar-20, 0
BA, 4-mar-20, 0
CE, 4-mar-20, 0
DF, 4-mar-20, 0
ES, 4-mar-20, 0
GO, 4-mar-20, 0
MA, 4-mar-20, 0
MG, 4-mar-20, 0
MS, 4-mar-20, 0
MT, 4-mar-20, 0
PA, 4-mar-20, 0
PB, 4-mar-20, 0
PE, 4-mar-20, 0
PI, 4-mar-20, 0
PR, 4-mar-20, 0
RJ, 4-mar-20, 0
RN, 4-mar-20, 0
RO, 4-mar-20, 0
RR, 4-mar-20, 0
RS, 4-mar-20, 0
SC, 4-mar-20, 0
SE, 4-mar-20, 0
SP, 4-mar-20, 0
TO, 4-mar-20, 0
AC, 5-mar-20, 0
AL, 5-mar-20, 0
AM, 5-mar-20, 0
AP, 5-mar-20, 0
BA, 5-mar-20, 0
CE, 5-mar-20, 0
DF, 5-mar-20, 0
ES, 5-mar-20, 0
GO, 5-mar-20, 0
MA, 5-mar-20, 0
MG, 5-mar-20, 0
MS, 5-mar-20, 0
MT, 5-mar-20, 0
PA, 5-mar-20, 0
PB, 5-mar-20, 0
PE, 5-mar-20, 0
PI, 5-mar-20, 0
PR, 5-mar-20, 0
RJ, 5-mar-20, 0
RN, 5-mar-20, 0
RO, 5-mar-20, 0
RR, 5-mar-20, 0
RS, 5-mar-20, 0
SC, 5-mar-20, 0
SE, 5-mar-20, 0
SP, 5-mar-20, 0
TO, 5-mar-20, 0
AC, 6-mar-20, 0
AL, 6-mar-20, 0
AM, 6-mar-20, 0
AP, 6-mar-20, 0
BA, 6-mar-20, 0
CE, 6-mar-20, 0
DF, 6-mar-20, 0
ES, 6-mar-20, 0
GO, 6-mar-20, 0
MA, 6-mar-20, 0
MG, 6-mar-20, 0
MS, 6-mar-20, 0
MT, 6-mar-20, 0
PA, 6-mar-20, 0
PB, 6-mar-20, 0
PE, 6-mar-20, 0
PI, 6-mar-20, 0
PR, 6-mar-20, 0
RJ, 6-mar-20, 0
RN, 6-mar-20, 0
RO, 6-mar-20, 0
RR, 6-mar-20, 0
RS, 6-mar-20, 0
SC, 6-mar-20, 0
SE, 6-mar-20, 0
SP, 6-mar-20, 0
TO, 6-mar-20, 0
AC, 7-mar-20, 0
AL, 7-mar-20, 0
AM, 7-mar-20, 0
AP, 7-mar-20, 0
BA, 7-mar-20, 0
CE, 7-mar-20, 0
DF, 7-mar-20, 0
ES, 7-mar-20, 0
GO, 7-mar-20, 0
MA, 7-mar-20, 0
MG, 7-mar-20, 0
MS, 7-mar-20, 0
MT, 7-mar-20, 0
PA, 7-mar-20, 0
PB, 7-mar-20, 0
PE, 7-mar-20, 0
PI, 7-mar-20, 0
PR, 7-mar-20, 0
RJ, 7-mar-20, 0
RN, 7-mar-20, 0
RO, 7-mar-20, 0
RR, 7-mar-20, 0
RS, 7-mar-20, 0
SC, 7-mar-20, 0
SE, 7-mar-20, 0
SP, 7-mar-20, 0
TO, 7-mar-20, 0
AC, 8-mar-20, 0
AL, 8-mar-20, 0
AM, 8-mar-20, 0
AP, 8-mar-20, 0
BA, 8-mar-20, 0
CE, 8-mar-20, 0
DF, 8-mar-20, 0
ES, 8-mar-20, 0
GO, 8-mar-20, 0
MA, 8-mar-20, 0
MG, 8-mar-20, 0
MS, 8-mar-20, 0
MT, 8-mar-20, 0
PA, 8-mar-20, 0
PB, 8-mar-20, 0
PE, 8-mar-20, 0
PI, 8-mar-20, 0
PR, 8-mar-20, 0
RJ, 8-mar-20, 0
RN, 8-mar-20, 0
RO, 8-mar-20, 0
RR, 8-mar-20, 0
RS, 8-mar-20, 0
SC, 8-mar-20, 0
SE, 8-mar-20, 0
SP, 8-mar-20, 0
TO, 8-mar-20, 0
AC, 9-mar-20, 0
AL, 9-mar-20, 0
AM, 9-mar-20, 0
AP, 9-mar-20, 0
BA, 9-mar-20, 0
CE, 9-mar-20, 0
DF, 9-mar-20, 0
ES, 9-mar-20, 0
GO, 9-mar-20, 0
MA, 9-mar-20, 0
MG, 9-mar-20, 0
MS, 9-mar-20, 0
MT, 9-mar-20, 0
PA, 9-mar-20, 0
PB, 9-mar-20, 0
PE, 9-mar-20, 0
PI, 9-mar-20, 0
PR, 9-mar-20, 0
RJ, 9-mar-20, 0
RN, 9-mar-20, 0
RO, 9-mar-20, 0
RR, 9-mar-20, 0
RS, 9-mar-20, 0
SC, 9-mar-20, 0
SE, 9-mar-20, 0
SP, 9-mar-20, 0
TO, 9-mar-20, 0
AC, 10-mar-20, 0
AL, 10-mar-20, 0
AM, 10-mar-20, 0
AP, 10-mar-20, 0
BA, 10-mar-20, 0
CE, 10-mar-20, 0
DF, 10-mar-20, 0
ES, 10-mar-20, 0
GO, 10-mar-20, 0
MA, 10-mar-20, 0
MG, 10-mar-20, 0
MS, 10-mar-20, 0
MT, 10-mar-20, 0
PA, 10-mar-20, 0
PB, 10-mar-20, 0
PE, 10-mar-20, 0
PI, 10-mar-20, 0
PR, 10-mar-20, 0
RJ, 10-mar-20, 0
RN, 10-mar-20, 0
RO, 10-mar-20, 0
RR, 10-mar-20, 0
RS, 10-mar-20, 0
SC, 10-mar-20, 0
SE, 10-mar-20, 0
SP, 10-mar-20, 0
TO, 10-mar-20, 0
AC, 11-mar-20, 0
AL, 11-mar-20, 0
AM, 11-mar-20, 0
AP, 11-mar-20, 0
BA, 11-mar-20, 0
CE, 11-mar-20, 0
DF, 11-mar-20, 0
ES, 11-mar-20, 0
GO, 11-mar-20, 0
MA, 11-mar-20, 0
MG, 11-mar-20, 0
MS, 11-mar-20, 0
MT, 11-mar-20, 0
PA, 11-mar-20, 0
PB, 11-mar-20, 0
PE, 11-mar-20, 0
PI, 11-mar-20, 0
PR, 11-mar-20, 0
RJ, 11-mar-20, 0
RN, 11-mar-20, 0
RO, 11-mar-20, 0
RR, 11-mar-20, 0
RS, 11-mar-20, 0
SC, 11-mar-20, 0
SE, 11-mar-20, 0
SP, 11-mar-20, 0
TO, 11-mar-20, 0
AC, 12-mar-20, 0
AL, 12-mar-20, 0
AM, 12-mar-20, 0
AP, 12-mar-20, 0
BA, 12-mar-20, 0
CE, 12-mar-20, 0
DF, 12-mar-20, 0
ES, 12-mar-20, 0
GO, 12-mar-20, 0
MA, 12-mar-20, 0
MG, 12-mar-20, 0
MS, 12-mar-20, 0
MT, 12-mar-20, 0
PA, 12-mar-20, 0
PB, 12-mar-20, 0
PE, 12-mar-20, 0
PI, 12-mar-20, 0
PR, 12-mar-20, 0
RJ, 12-mar-20, 0
RN, 12-mar-20, 0
RO, 12-mar-20, 0
RR, 12-mar-20, 0
RS, 12-mar-20, 0
